tourney_id,tourney_name,surface,draw_size,winner_ht,winner_age,winner_rank,winner_rank_points,winner_ioc
2008-96,Beijing Olympics,Hard,64,183.0,26.1300479124,22.0,1210.0,RUS
2008-96,Beijing Olympics,Hard,64,180.0,33.3853524983,66.0,611.0,SWE
2008-96,Beijing Olympics,Hard,64,180.0,32.295687885,35.0,942.0,GER
2008-96,Beijing Olympics,Hard,64,188.0,21.2238193018,3.0,4905.0,SRB
2008-96,Beijing Olympics,Hard,64,180.0,24.9938398357,77.0,545.0,TPE
2008-96,Beijing Olympics,Hard,64,183.0,31.906913073200002,52.0,765.0,ARG
2008-96,Beijing Olympics,Hard,64,183.0,27.2224503765,51.0,784.0,AUT
2008-96,Beijing Olympics,Hard,64,183.0,23.373032169699997,10.0,1650.0,SUI
2008-96,Beijing Olympics,Hard,64,190.0,28.2327173169,39.0,901.0,FRA
2008-96,Beijing Olympics,Hard,64,185.0,25.078713210100002,23.0,1135.0,RUS
2008-96,Beijing Olympics,Hard,64,180.0,27.460643394899996,38.0,910.0,AUS
2008-96,Beijing Olympics,Hard,64,185.0,22.1902806297,2.0,6305.0,ESP
2008-96,Beijing Olympics,Hard,64,185.0,27.0088980151,1.0,6330.0,SUI
2008-96,Beijing Olympics,Hard,64,196.0,22.8993839836,20.0,1235.0,CZE
2008-96,Beijing Olympics,Hard,64,183.0,23.6221765914,14.0,1350.0,FRA
2008-96,Beijing Olympics,Hard,64,185.0,28.621492128699998,7.0,2020.0,USA
2008-96,Beijing Olympics,Hard,64,185.0,26.5790554415,26.0,1030.0,FRA
2008-96,Beijing Olympics,Hard,64,183.0,31.101984941799998,21.0,1210.0,GER
2008-96,Beijing Olympics,Hard,64,183.0,28.0355920602,15.0,1340.0,CHI
2008-96,Beijing Olympics,Hard,64,168.0,27.5619438741,72.0,574.0,BEL
2008-96,Beijing Olympics,Hard,64,180.0,26.609171800100004,8.0,1930.0,ARG
2008-96,Beijing Olympics,Hard,64,193.0,21.943874058899997,43.0,863.0,FRA
2008-96,Beijing Olympics,Hard,64,183.0,26.1300479124,22.0,1210.0,RUS
2008-96,Beijing Olympics,Hard,64,188.0,21.2238193018,3.0,4905.0,SRB
2008-96,Beijing Olympics,Hard,64,180.0,24.9938398357,77.0,545.0,TPE
2008-96,Beijing Olympics,Hard,64,183.0,27.2224503765,51.0,784.0,AUT
2008-96,Beijing Olympics,Hard,64,185.0,25.078713210100002,23.0,1135.0,RUS
2008-96,Beijing Olympics,Hard,64,185.0,22.1902806297,2.0,6305.0,ESP
2008-96,Beijing Olympics,Hard,64,185.0,27.0088980151,1.0,6330.0,SUI
2008-96,Beijing Olympics,Hard,64,185.0,28.621492128699998,7.0,2020.0,USA
2008-96,Beijing Olympics,Hard,64,185.0,26.5790554415,26.0,1030.0,FRA
2008-96,Beijing Olympics,Hard,64,183.0,28.0355920602,15.0,1340.0,CHI
2008-96,Beijing Olympics,Hard,64,193.0,21.943874058899997,43.0,863.0,FRA
2008-96,Beijing Olympics,Hard,64,188.0,21.2238193018,3.0,4905.0,SRB
2008-96,Beijing Olympics,Hard,64,183.0,27.2224503765,51.0,784.0,AUT
2008-96,Beijing Olympics,Hard,64,185.0,22.1902806297,2.0,6305.0,ESP
2008-96,Beijing Olympics,Hard,64,185.0,28.621492128699998,7.0,2020.0,USA
2008-96,Beijing Olympics,Hard,64,183.0,28.0355920602,15.0,1340.0,CHI
2008-96,Beijing Olympics,Hard,64,188.0,21.2238193018,3.0,4905.0,SRB
2008-96,Beijing Olympics,Hard,64,185.0,22.1902806297,2.0,6305.0,ESP
2008-96,Beijing Olympics,Hard,64,183.0,28.0355920602,15.0,1340.0,CHI
2008-96,Beijing Olympics,Hard,64,185.0,22.1902806297,2.0,6305.0,ESP
2008-96,Beijing Olympics,Hard,64,185.0,22.1902806297,2.0,6305.0,ESP
2008-807,Acapulco,Clay,32,180.0,26.1492128679,8.0,1875.0,ARG
2008-807,Acapulco,Clay,32,183.0,28.139630390100002,68.0,535.0,ESP
2008-807,Acapulco,Clay,32,183.0,28.487337440100003,76.0,505.0,AUS
2008-807,Acapulco,Clay,32,188.0,26.6173853525,36.0,916.0,ITA
2008-807,Acapulco,Clay,32,185.0,23.909650924,23.0,1395.0,ARG
2008-807,Acapulco,Clay,32,180.0,27.446954141,131.0,335.0,PER
2008-807,Acapulco,Clay,32,183.0,31.446954141,47.0,730.0,ARG
2008-807,Acapulco,Clay,32,190.0,28.490075290900002,24.0,1340.0,ARG
2008-807,Acapulco,Clay,32,175.0,27.2470910335,55.0,595.0,ESP
2008-807,Acapulco,Clay,32,190.0,21.8726899384,116.0,364.0,ESP
2008-807,Acapulco,Clay,32,190.0,25.3497604381,46.0,733.0,ARG
2008-807,Acapulco,Clay,32,185.0,30.250513347,22.0,1408.0,ARG
2008-807,Acapulco,Clay,32,183.0,22.5133470226,28.0,1065.0,ESP
2008-807,Acapulco,Clay,32,183.0,26.4722792608,41.0,770.0,ITA
2008-807,Acapulco,Clay,32,183.0,28.3778234086,96.0,432.0,CHI
2008-807,Acapulco,Clay,32,190.0,31.4962354552,13.0,1585.0,ESP
2008-807,Acapulco,Clay,32,180.0,26.1492128679,8.0,1875.0,ARG
2008-807,Acapulco,Clay,32,188.0,26.6173853525,36.0,916.0,ITA
2008-807,Acapulco,Clay,32,180.0,27.446954141,131.0,335.0,PER
2008-807,Acapulco,Clay,32,183.0,31.446954141,47.0,730.0,ARG
2008-807,Acapulco,Clay,32,190.0,21.8726899384,116.0,364.0,ESP
2008-807,Acapulco,Clay,32,190.0,25.3497604381,46.0,733.0,ARG
2008-807,Acapulco,Clay,32,183.0,22.5133470226,28.0,1065.0,ESP
